gene_id	gene_name	MDA1-D	MDA1-V	MDA2-D	MDA2-V	MDA3-D	MDA3-V	MDA4-D	MDA4-V	MDA5-D	MDA5-V	MDA6-D	MDA6-V
ENSG00000085721	RRN3	133.79535368934512	115.63157410408424	110.44019075059082	85.13127322428215	127.33112388603183	106.29402660916165	115.60068574878392	99.42067680312606	128.71042601305155	120.12192372934486	145.07785052388158	115.70074033672803
ENSG00000085733	CTTN	716.2340417500967	706.9767059667296	359.258705446466	367.33145116848345	547.3533091266119	607.6647955963144	511.23498216303517	578.4265350404579	726.7902519664882	636.699241841181	617.5159660318672	661.4871523579501
ENSG00000085760	MTIF2	61.9495144760416	55.293258025768495	34.481346937137864	31.50022127919809	52.16149771053313	55.45892848230032	47.80766391195164	50.625302662876706	56.64872668411422	80.77636899479015	52.16618482226886	47.823515959093164
ENSG00000085788	DDHD2	30.923895567679224	32.916955894425364	24.22577068182988	28.016494828064424	36.1249759855224	38.632710924809594	31.228492390192265	32.5633814930445	31.148730057077053	23.559774290147125	33.0482256542301	32.16828427741693
ENSG00000085831	TTC39A	106.11982346748131	117.65357265737948	142.1515892336051	163.6984723985335	105.00782908903825	104.30120481725757	107.7207546493149	104.44018483418374	111.84492191478962	121.09138649128414	107.02546140400476	131.46105508037718
ENSG00000085832	EPS15	59.67769320078447	64.80996256615131	60.36141745305098	51.522480672029474	52.589518753015625	55.707942272791726	50.1761169864887	63.272356295141144	66.1708773233243	56.52150819608278	68.1751191702118	68.62567312515611
ENSG00000085840	ORC1	37.43418937140117	46.3186442503442	55.895213919529276	70.07790787490984	43.88642422253827	48.62883594310747	48.14363336659894	53.70361776985016	35.344932033678106	36.47374994918739	42.2915150375564	41.818769560642004
ENSG00000085871	MGST2	17.903307960235338	18.25038908693666	24.67690235188258	26.182954590625652	17.520328005616708	18.3558736990808	14.824761836917116	13.314640041005669	18.075946976127614	36.949335455044405	16.65727125299981	19.300970566450157
ENSG00000085872	CHERP	57.88058084871539	54.29942495667788	69.72239960664447	72.82821823106799	60.493640670858994	49.8739048955645	58.509562989489446	57.11572608119423	73.27214220680301	34.09582241990236	60.09584389181069	44.177777074319245
ENSG00000085978	ATG16L1	74.43910624511942	104.77409840503736	89.30918332532245	139.16570402160275	81.64758197979042	117.22644347970721	83.91955565990234	106.91322159723181	90.29903868878036	80.24005487818525	76.35413858785242	107.0131590295403
ENSG00000085982	USP40	42.283001943964905	49.60130499370409	36.0003072702053	43.67492845579153	41.63218006546381	49.5181709091482	42.32513364681957	44.876641920938326	50.475468006999215	40.571101999647766	43.13934022109232	42.24768001767423
ENSG00000085998	POMGNT1	94.55727040982931	96.9137823131389	138.10629154824258	153.50398867837393	92.82349674636995	93.3445980356357	85.17659019909183	81.39584376711281	98.87946476901094	103.38497227322326	85.23934651130885	101.33009547386332
ENSG00000085999	RAD54L	38.993947261876215	38.91007046257783	37.940173451431896	43.05152477506235	37.665851738459374	45.24936307215267	50.702439891941374	52.44262122000561	32.92404627794673	31.827645391968943	46.08179232865815	51.04034438683486
